result_type,source,event_timestamp,ingredient_name,employee_name,event_type,change_amount,reason
"Inventory history",machine,"2026-04-02 10:15:00","Coffee beans",NULL,purchase_usage,-18.00,"Ingredient consumed for purchase #1"
"Inventory history",machine,"2026-04-02 10:15:00",Water,NULL,purchase_usage,-40.00,"Ingredient consumed for purchase #1"
"Inventory history",machine,"2026-04-02 10:20:00","Coffee beans",NULL,purchase_usage,-18.00,"Ingredient consumed for purchase #2"
"Inventory history",machine,"2026-04-02 10:20:00",Milk,NULL,purchase_usage,-120.00,"Ingredient consumed for purchase #2"
"Inventory history",machine,"2026-04-02 10:20:00",Water,NULL,purchase_usage,-40.00,"Ingredient consumed for purchase #2"
"Inventory history",machine,"2026-04-03 11:05:00","Coffee beans",NULL,purchase_usage,-18.00,"Ingredient consumed for purchase #3"
"Inventory history",machine,"2026-04-03 11:05:00",Water,NULL,purchase_usage,-160.00,"Ingredient consumed for purchase #3"
"Inventory history",machine,"2026-04-03 11:15:00","Coffee beans",NULL,purchase_usage,-18.00,"Ingredient consumed for purchase #4"
"Inventory history",machine,"2026-04-03 11:15:00",Water,NULL,purchase_usage,-40.00,"Ingredient consumed for purchase #4"
"Inventory history",machine,"2026-04-03 11:15:00",Milk,NULL,purchase_usage,-180.00,"Ingredient consumed for purchase #4"
"Inventory history",machine,"2026-04-04 09:30:00",Sugar,NULL,purchase_usage,-8.00,"Ingredient consumed for purchase #5"
"Inventory history",machine,"2026-04-04 09:30:00","Cocoa powder",NULL,purchase_usage,-12.00,"Ingredient consumed for purchase #5"
"Inventory history",machine,"2026-04-04 09:30:00",Water,NULL,purchase_usage,-40.00,"Ingredient consumed for purchase #5"
"Inventory history",machine,"2026-04-04 09:30:00","Coffee beans",NULL,purchase_usage,-18.00,"Ingredient consumed for purchase #5"
"Inventory history",machine,"2026-04-04 09:30:00",Milk,NULL,purchase_usage,-150.00,"Ingredient consumed for purchase #5"
"Inventory history",machine,"2026-04-04 09:45:00",Water,NULL,purchase_usage,-40.00,"Ingredient consumed for purchase #6"
"Inventory history",machine,"2026-04-04 09:45:00","Coffee beans",NULL,purchase_usage,-18.00,"Ingredient consumed for purchase #6"
"Inventory history",machine,"2026-04-04 09:45:00",Milk,NULL,purchase_usage,-180.00,"Ingredient consumed for purchase #6"
"Inventory history",machine,"2026-04-04 09:45:00","Vanilla syrup",NULL,purchase_usage,-20.00,"Ingredient consumed for purchase #6"
"Inventory history",machine,"2026-04-04 10:00:00","Caramel syrup",NULL,purchase_usage,-20.00,"Ingredient consumed for purchase #7"
"Inventory history",machine,"2026-04-04 10:00:00",Sugar,NULL,purchase_usage,-5.00,"Ingredient consumed for purchase #7"
"Inventory history",machine,"2026-04-04 10:00:00","Oat milk",NULL,purchase_usage,-180.00,"Ingredient consumed for purchase #7"
"Inventory history",machine,"2026-04-04 10:00:00","Coffee beans",NULL,purchase_usage,-18.00,"Ingredient consumed for purchase #7"
"Inventory history",machine,"2026-04-04 10:00:00",Water,NULL,purchase_usage,-40.00,"Ingredient consumed for purchase #7"
"Inventory history",machine,"2026-04-29 21:56:09",Sugar,"Jonas Larsen",transfer_in,250.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",machine,"2026-04-29 21:56:09","Oat milk","Jonas Larsen",transfer_in,1000.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",machine,"2026-04-29 21:56:09","Vanilla syrup","Jonas Larsen",transfer_in,500.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",machine,"2026-04-29 21:56:09",Milk,"Jonas Larsen",transfer_in,1000.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",machine,"2026-04-29 21:56:09","Coffee beans","Jonas Larsen",transfer_in,500.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",machine,"2026-04-29 21:56:09","Cocoa powder","Jonas Larsen",transfer_in,200.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",machine,"2026-04-29 21:56:09","Caramel syrup","Jonas Larsen",transfer_in,500.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",machine,"2026-04-29 21:56:09",Water,"Jonas Larsen",transfer_in,2000.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09","Coffee beans","Jonas Larsen",transfer_out,-500.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09",Water,"Jonas Larsen",transfer_out,-2000.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09",Milk,"Jonas Larsen",transfer_out,-1000.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09",Sugar,"Jonas Larsen",transfer_out,-250.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09","Cocoa powder","Jonas Larsen",transfer_out,-200.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09","Vanilla syrup","Jonas Larsen",transfer_out,-500.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09","Caramel syrup","Jonas Larsen",transfer_out,-500.00,"Transferred from remote warehouse to machine inventory"
"Inventory history",remote,"2026-04-29 21:56:09","Oat milk","Jonas Larsen",transfer_out,-1000.00,"Transferred from remote warehouse to machine inventory"
